"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-01","2023","07","3.1979429483","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-02","2023","07","2.3025696088","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-04","2023","07","0.072307488","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-05","2023","07","1.4212105065","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-03","2023","07","1.4787848141","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-06","2023","07","5.6992846775","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-07","2023","07","8.2191234575","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-08","2023","07","13.6773183707","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-10","2023","07","8.8731035369","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-09","2023","07","13.7578865996","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-12","2023","07","0.5968806134","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-11","2023","07","5.9142429877","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-13","2023","07","0.3380206296","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-14","2023","07","4.5759143792","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-16","2023","07","3.667938221","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-17","2023","07","4.9160079088","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-15","2023","07","2.9071030279","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-18","2023","07","4.1815245175","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-19","2023","07","2.5128387163","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-20","2023","07","8.5502612368","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-22","2023","07","13.6676477782","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-23","2023","07","4.2982984342","IMD GRID MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-07-21","2023","07","2.5916886029","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-01","2023","07","15.4997808013","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-02","2023","07","8.3507612377","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-03","2023","07","8.8103959471","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-04","2023","07","1.9486152993","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-05","2023","07","5.1078699252","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-06","2023","07","31.3771822456","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-07","2023","07","16.5406896312","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-08","2023","07","10.21134769","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-10","2023","07","5.2286589655","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-09","2023","07","8.6167739882","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-12","2023","07","3.2849346639","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-11","2023","07","11.5510174058","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-13","2023","07","3.2755128382","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-14","2023","07","6.8299137336","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-16","2023","07","10.3097688936","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-17","2023","07","16.0307606958","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-15","2023","07","10.8726857204","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-18","2023","07","0.3081883189","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-19","2023","07","0.5060339722","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-20","2023","07","5.0428671923","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-22","2023","07","2.2580628564","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-23","2023","07","4.9551397119","IMD GRID MODEL"
"Barak and Others Basin","Barak","2023-07-21","2023","07","6.6131531287","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-01","2023","07","31.4553988232","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-02","2023","07","85.8250170106","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-03","2023","07","57.1112199272","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-04","2023","07","19.7612683416","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-05","2023","07","5.5345051083","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-06","2023","07","31.7876793712","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-07","2023","07","29.5987918326","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-08","2023","07","28.3945160521","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-10","2023","07","14.0096572604","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-09","2023","07","9.83138039","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-12","2023","07","76.6806496908","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-11","2023","07","38.0893300287","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-13","2023","07","63.5621534301","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-14","2023","07","29.2761690171","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-16","2023","07","1.7202811598","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-17","2023","07","1.1969585117","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-15","2023","07","8.2809460374","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-18","2023","07","6.4826107702","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-19","2023","07","2.0490311734","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-20","2023","07","1.7380191133","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-22","2023","07","5.1050221799","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-23","2023","07","7.1791245948","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-21","2023","07","10.0983125444","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-01","2023","07","23.0282808416","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-02","2023","07","16.4022536301","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-03","2023","07","4.6154536931","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-04","2023","07","9.6027996439","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-05","2023","07","69.413267178","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-06","2023","07","26.5623872537","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-07","2023","07","4.3769171534","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-08","2023","07","3.5416974096","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-10","2023","07","2.3306346719","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-09","2023","07","1.8200737498","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-12","2023","07","0.3584046092","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-11","2023","07","5.47229083","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-13","2023","07","1.7073544042","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-14","2023","07","3.5579422293","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-16","2023","07","4.4143961748","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-17","2023","07","8.2498322145","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-15","2023","07","2.5957782442","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-18","2023","07","2.2034522728","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-19","2023","07","13.3953552577","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-20","2023","07","4.6211474012","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-22","2023","07","8.4985325807","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-23","2023","07","19.9261829004","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-21","2023","07","12.0932788025","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-01","2023","07","16.1830828018","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-02","2023","07","30.3926555977","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-03","2023","07","18.8871377521","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-04","2023","07","18.2804631504","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-05","2023","07","8.650598568","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-06","2023","07","19.7260677224","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-07","2023","07","15.058878374","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-08","2023","07","21.2357357738","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-10","2023","07","15.6925602365","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-09","2023","07","12.9255980453","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-12","2023","07","29.0202500848","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-11","2023","07","12.3679003325","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-13","2023","07","31.0384027343","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-14","2023","07","21.4355064214","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-16","2023","07","4.2490476267","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-17","2023","07","11.1286966797","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-15","2023","07","8.7204329228","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-18","2023","07","4.5378464094","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-19","2023","07","0.4278698758","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-20","2023","07","0.6959555325","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-22","2023","07","4.712203136","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-23","2023","07","9.7263369137","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-21","2023","07","18.1786980781","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-01","2023","07","12.4773689002","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-02","2023","07","8.9955858906","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-03","2023","07","15.515707729","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-04","2023","07","10.0455368473","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-05","2023","07","8.8117020281","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-06","2023","07","20.7150714475","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-07","2023","07","30.3185290113","IMD GRID MODEL"
